,objective_description,objective_formulation,constraint_description,constraint_formulation,labels,description,problem_name
580,"""The goal is to minimize the total amount of time needed to transport all the locals across the lake.""",$\min (\text{kayakTrips} \times \text{KayakTime}) + (\text{motorboatTrips} \times \text{MotorboatTime})$,At least MinKayakTripProportion of the total trips should be by kayak,$\\text{kayakTrips} \\geq \\text{MinKayakTripProportion} \\cdot (\\text{kayakTrips} + \\text{motorboatTrips})$,"{'types': ['Resource Allocation and Management', 'Scheduling'], 'domains': ['Transportation & Logistics', 'Government and Public Sector']}","Due to an accident, at least MinLocals locals must be moved across a lake. They can either be transported over the lake by a kayak or a motorboat. Kayaks can transport KayakCapacity people per trip and motorboats can transport MotorboatCapacity people per trip. Kayaks take KayakTime minutes per trip whereas motorboats take MotorboatTime minutes per trip. Due to the limited number of motorboats available to the locals, there can be at most MaxMotorboatTrips motorboat trips and at least MinKayakTripProportion of the total trips should be by kayak. How many of each transportation method should be used to minimize the total amount of time needed to transport all the locals?",252
581,Minimize the total cost of annotating the dataset.,$\min (\text{timeSpecialized} \times \text{SpecializedCost}) + (\text{timeCommon} \times \text{CommonCost})$,The total number of images annotated by both companies must be at least equal to TotalImages,$imagesSpecialized + imagesCommon \geq TotalImages$,"{'types': ['Resource Allocation and Management', 'Scheduling'], 'domains': ['Science and Research', 'Supply Chain Management']}","A researcher is outsourcing annotations and has two options: a specialized third-party or a common third-party annotation company. The specialized company can annotate at a rate of SpecializedRate images per hour whereas the common company can annotate at a rate of CommonRate images per hour. However, the specialized company charges SpecializedCost per hour and the common company charges CommonCost per hour. The researcher has deadlines to meet and must complete a dataset of at least TotalImages images. They also have some special images that only the specialized company can annotate. Therefore, at least a third of the TotalImages must be allocated to the specialized company.",254
582,Minimize the total cost of annotating the dataset.,$\min (\text{timeSpecialized} \times \text{SpecializedCost}) + (\text{timeCommon} \times \text{CommonCost})$,auxiliary constraint,$imagesSpecialized \geq \\frac{1}{3} \\times TotalImages$,"{'types': ['Resource Allocation and Management', 'Scheduling'], 'domains': ['Science and Research', 'Supply Chain Management']}","A researcher is outsourcing annotations and has two options: a specialized third-party or a common third-party annotation company. The specialized company can annotate at a rate of SpecializedRate images per hour whereas the common company can annotate at a rate of CommonRate images per hour. However, the specialized company charges SpecializedCost per hour and the common company charges CommonCost per hour. The researcher has deadlines to meet and must complete a dataset of at least TotalImages images. They also have some special images that only the specialized company can annotate. Therefore, at least a third of the TotalImages must be allocated to the specialized company.",254
583,Minimize the total cost of annotating the dataset.,$\min (\text{timeSpecialized} \times \text{SpecializedCost}) + (\text{timeCommon} \times \text{CommonCost})$,The number of images annotated by the specialized company must be at least one-third of TotalImages,$imagesSpecialized \geq \\frac{1}{3} \\times TotalImages$,"{'types': ['Resource Allocation and Management', 'Scheduling'], 'domains': ['Science and Research', 'Supply Chain Management']}","A researcher is outsourcing annotations and has two options: a specialized third-party or a common third-party annotation company. The specialized company can annotate at a rate of SpecializedRate images per hour whereas the common company can annotate at a rate of CommonRate images per hour. However, the specialized company charges SpecializedCost per hour and the common company charges CommonCost per hour. The researcher has deadlines to meet and must complete a dataset of at least TotalImages images. They also have some special images that only the specialized company can annotate. Therefore, at least a third of the TotalImages must be allocated to the specialized company.",254
584,Minimize the total cost of annotating the dataset.,$\min (\text{timeSpecialized} \times \text{SpecializedCost}) + (\text{timeCommon} \times \text{CommonCost})$,The total time spent by the specialized company is determined by the number of images they annotate divided by SpecializedRate,$\\text{timeSpecialized} = \\frac{imagesSpecialized}{SpecializedRate}$,"{'types': ['Resource Allocation and Management', 'Scheduling'], 'domains': ['Science and Research', 'Supply Chain Management']}","A researcher is outsourcing annotations and has two options: a specialized third-party or a common third-party annotation company. The specialized company can annotate at a rate of SpecializedRate images per hour whereas the common company can annotate at a rate of CommonRate images per hour. However, the specialized company charges SpecializedCost per hour and the common company charges CommonCost per hour. The researcher has deadlines to meet and must complete a dataset of at least TotalImages images. They also have some special images that only the specialized company can annotate. Therefore, at least a third of the TotalImages must be allocated to the specialized company.",254
585,Minimize the total cost of annotating the dataset.,$\min (\text{timeSpecialized} \times \text{SpecializedCost}) + (\text{timeCommon} \times \text{CommonCost})$,The total time spent by the common company is determined by the number of images they annotate divided by CommonRate,$timeCommon = \\frac{imagesCommon}{CommonRate}$,"{'types': ['Resource Allocation and Management', 'Scheduling'], 'domains': ['Science and Research', 'Supply Chain Management']}","A researcher is outsourcing annotations and has two options: a specialized third-party or a common third-party annotation company. The specialized company can annotate at a rate of SpecializedRate images per hour whereas the common company can annotate at a rate of CommonRate images per hour. However, the specialized company charges SpecializedCost per hour and the common company charges CommonCost per hour. The researcher has deadlines to meet and must complete a dataset of at least TotalImages images. They also have some special images that only the specialized company can annotate. Therefore, at least a third of the TotalImages must be allocated to the specialized company.",254
586,Minimize the total cost of annotating the dataset.,$\min (\text{timeSpecialized} \times \text{SpecializedCost}) + (\text{timeCommon} \times \text{CommonCost})$,The cost incurred from the specialized company is the total time spent by the specialized company multiplied by SpecializedCost,$totalSpecializedCost = timeSpecialized \times SpecializedCost$,"{'types': ['Resource Allocation and Management', 'Scheduling'], 'domains': ['Science and Research', 'Supply Chain Management']}","A researcher is outsourcing annotations and has two options: a specialized third-party or a common third-party annotation company. The specialized company can annotate at a rate of SpecializedRate images per hour whereas the common company can annotate at a rate of CommonRate images per hour. However, the specialized company charges SpecializedCost per hour and the common company charges CommonCost per hour. The researcher has deadlines to meet and must complete a dataset of at least TotalImages images. They also have some special images that only the specialized company can annotate. Therefore, at least a third of the TotalImages must be allocated to the specialized company.",254
587,Minimize the total cost of annotating the dataset.,$\min (\text{timeSpecialized} \times \text{SpecializedCost}) + (\text{timeCommon} \times \text{CommonCost})$,The cost incurred from the common company is the total time spent by the common company multiplied by CommonCost,$totalCommonCost = timeCommon \\times CommonCost$,"{'types': ['Resource Allocation and Management', 'Scheduling'], 'domains': ['Science and Research', 'Supply Chain Management']}","A researcher is outsourcing annotations and has two options: a specialized third-party or a common third-party annotation company. The specialized company can annotate at a rate of SpecializedRate images per hour whereas the common company can annotate at a rate of CommonRate images per hour. However, the specialized company charges SpecializedCost per hour and the common company charges CommonCost per hour. The researcher has deadlines to meet and must complete a dataset of at least TotalImages images. They also have some special images that only the specialized company can annotate. Therefore, at least a third of the TotalImages must be allocated to the specialized company.",254
588,Minimize the total cost of annotating the dataset.,$\min (\text{timeSpecialized} \times \text{SpecializedCost}) + (\text{timeCommon} \times \text{CommonCost})$,The sum of images annotated by the specialized company and the common company must be exactly equal to TotalImages,$imagesSpecialized + imagesCommon = TotalImages$,"{'types': ['Resource Allocation and Management', 'Scheduling'], 'domains': ['Science and Research', 'Supply Chain Management']}","A researcher is outsourcing annotations and has two options: a specialized third-party or a common third-party annotation company. The specialized company can annotate at a rate of SpecializedRate images per hour whereas the common company can annotate at a rate of CommonRate images per hour. However, the specialized company charges SpecializedCost per hour and the common company charges CommonCost per hour. The researcher has deadlines to meet and must complete a dataset of at least TotalImages images. They also have some special images that only the specialized company can annotate. Therefore, at least a third of the TotalImages must be allocated to the specialized company.",254
589,"""The goal is to minimize the total number of carts used""",$\min \left( \text{numGolfCarts} + \text{numPullCarts} \right)$,The total number of guests transported should be at least MinGuests,$\\text{numGolfCarts} \\times \\text{GuestsPerGolfCart} + \\text{numPullCarts} \\times \\text{GuestsPerPullCart} \\geq \\text{MinGuests}$,"{'types': ['Resource Allocation and Management', 'Balancing'], 'domains': ['Transportation & Logistics', 'Sports and Entertainment']}","A golf course is organizing an event and can transport guests using either golf carts or pull carts. Each golf cart can transport GuestsPerGolfCart guests, while each pull cart can transport GuestsPerPullCart guest. However, due to spatial constraints, at most MaxGolfCartPercentage of all carts can be golf carts. The goal is to transport at least MinGuests guests while minimizing the total number of carts used.",255
590,"""The goal is to minimize the total number of carts used""",$\min \left( \text{numGolfCarts} + \text{numPullCarts} \right)$,The total number of golf carts used should not exceed MaxGolfCartPercentage of the total number of carts used,$\\text{numGolfCarts} \\leq \\text{MaxGolfCartPercentage} \\times (\\text{numGolfCarts} + \\text{numPullCarts})$,"{'types': ['Resource Allocation and Management', 'Balancing'], 'domains': ['Transportation & Logistics', 'Sports and Entertainment']}","A golf course is organizing an event and can transport guests using either golf carts or pull carts. Each golf cart can transport GuestsPerGolfCart guests, while each pull cart can transport GuestsPerPullCart guest. However, due to spatial constraints, at most MaxGolfCartPercentage of all carts can be golf carts. The goal is to transport at least MinGuests guests while minimizing the total number of carts used.",255
591,"""The goal is to minimize the total amount of water used in producing the smoothies""",$\min \left( \text{WaterPerAcaiSmoothie} \times \text{acaiSmoothies} + \text{WaterPerBananaSmoothie} \times \text{bananaSmoothies} \right)$,The number of banana chocolate smoothies made must be more than the number of acai berry smoothies made,$bananaSmoothies \geq acaiSmoothies + 1$,"{'types': ['Resource Allocation and Management', 'Production Planning', 'Blending'], 'domains': ['Manufacturing and Production', 'Food and Beverage']}","A smoothie shop produces two different types of smoothies: acai berry smoothies and banana chocolate smoothies. It takes AcaiBerriesPerAcaiSmoothie units of acai berries and WaterPerAcaiSmoothie units of water to make one acai berry smoothie. It takes BananaChocolatePerBananaSmoothie units of banana chocolate and WaterPerBananaSmoothie units of water to make one banana chocolate smoothie. The number of banana chocolate smoothies made must be more than the number of acai berry smoothies made. Additionally, at least MinAcaiFraction of the total smoothies made must be acai berry smoothies. The smoothie shop has TotalAcaiBerries units of acai berries and TotalBananaChocolate units of banana chocolate. The objective is to determine the number of each type of smoothie to make in order to minimize the total amount of water used.",256
592,"""The goal is to minimize the total amount of water used in producing the smoothies""",$\min \left( \text{WaterPerAcaiSmoothie} \times \text{acaiSmoothies} + \text{WaterPerBananaSmoothie} \times \text{bananaSmoothies} \right)$,At least MinAcaiFraction of the total smoothies made must be acai berry smoothies,$(1 - \text{MinAcaiFraction}) \times \text{acaiSmoothies} \geq \text{MinAcaiFraction} \times \text{bananaSmoothies}$,"{'types': ['Resource Allocation and Management', 'Production Planning', 'Blending'], 'domains': ['Manufacturing and Production', 'Food and Beverage']}","A smoothie shop produces two different types of smoothies: acai berry smoothies and banana chocolate smoothies. It takes AcaiBerriesPerAcaiSmoothie units of acai berries and WaterPerAcaiSmoothie units of water to make one acai berry smoothie. It takes BananaChocolatePerBananaSmoothie units of banana chocolate and WaterPerBananaSmoothie units of water to make one banana chocolate smoothie. The number of banana chocolate smoothies made must be more than the number of acai berry smoothies made. Additionally, at least MinAcaiFraction of the total smoothies made must be acai berry smoothies. The smoothie shop has TotalAcaiBerries units of acai berries and TotalBananaChocolate units of banana chocolate. The objective is to determine the number of each type of smoothie to make in order to minimize the total amount of water used.",256
593,"""The goal is to minimize the total amount of water used in producing the smoothies""",$\min \left( \text{WaterPerAcaiSmoothie} \times \text{acaiSmoothies} + \text{WaterPerBananaSmoothie} \times \text{bananaSmoothies} \right)$,The total units of acai berries used for making acai berry smoothies must not exceed TotalAcaiBerries,$acaiSmoothies \times AcaiBerriesPerAcaiSmoothie \leq TotalAcaiBerries$,"{'types': ['Resource Allocation and Management', 'Production Planning', 'Blending'], 'domains': ['Manufacturing and Production', 'Food and Beverage']}","A smoothie shop produces two different types of smoothies: acai berry smoothies and banana chocolate smoothies. It takes AcaiBerriesPerAcaiSmoothie units of acai berries and WaterPerAcaiSmoothie units of water to make one acai berry smoothie. It takes BananaChocolatePerBananaSmoothie units of banana chocolate and WaterPerBananaSmoothie units of water to make one banana chocolate smoothie. The number of banana chocolate smoothies made must be more than the number of acai berry smoothies made. Additionally, at least MinAcaiFraction of the total smoothies made must be acai berry smoothies. The smoothie shop has TotalAcaiBerries units of acai berries and TotalBananaChocolate units of banana chocolate. The objective is to determine the number of each type of smoothie to make in order to minimize the total amount of water used.",256
594,"""The goal is to minimize the total amount of water used in producing the smoothies""",$\min \left( \text{WaterPerAcaiSmoothie} \times \text{acaiSmoothies} + \text{WaterPerBananaSmoothie} \times \text{bananaSmoothies} \right)$,The total units of banana chocolate used for making banana chocolate smoothies must not exceed TotalBananaChocolate,$bananaSmoothies \\times BananaChocolatePerBananaSmoothie \\leq TotalBananaChocolate$,"{'types': ['Resource Allocation and Management', 'Production Planning', 'Blending'], 'domains': ['Manufacturing and Production', 'Food and Beverage']}","A smoothie shop produces two different types of smoothies: acai berry smoothies and banana chocolate smoothies. It takes AcaiBerriesPerAcaiSmoothie units of acai berries and WaterPerAcaiSmoothie units of water to make one acai berry smoothie. It takes BananaChocolatePerBananaSmoothie units of banana chocolate and WaterPerBananaSmoothie units of water to make one banana chocolate smoothie. The number of banana chocolate smoothies made must be more than the number of acai berry smoothies made. Additionally, at least MinAcaiFraction of the total smoothies made must be acai berry smoothies. The smoothie shop has TotalAcaiBerries units of acai berries and TotalBananaChocolate units of banana chocolate. The objective is to determine the number of each type of smoothie to make in order to minimize the total amount of water used.",256
595,"""The goal is to maximize the total number of sports equipment produced""",$\max\ ( \text{numBasketballs} + \text{numFootballs} )$,The total materials used for basketballs and footballs should not exceed TotalMaterial units,$BasketballMaterial \times numBasketballs + FootballMaterial \times numFootballs \leq TotalMaterial$,"{'types': ['Production Planning', 'Resource Allocation and Management', 'Sizing'], 'domains': ['Manufacturing and Production', 'Sports and Entertainment']}","A handmade sports equipment manufacturing company makes two types of sports equipment: basketballs and footballs. Basketballs require BasketballMaterial units of materials and BasketballHours hours to make, whereas footballs require FootballMaterial units of materials and FootballHours hours to make. The manufacturing company has TotalMaterial units of materials available and their workers can work for at most TotalHours hours. Since basketballs sell better, there must be at least BasketballToFootballRatio times as many basketballs as footballs, but the manufacturing company would like at least MinFootballs footballs. How many of each type of sports equipment should the manufacturing company make to maximize the total number of sports equipment produced?",257
596,"""The goal is to maximize the total number of sports equipment produced""",$\max\ ( \text{numBasketballs} + \text{numFootballs} )$,The total hours worked on basketballs and footballs should not exceed TotalHours hours,$BasketballHours \\times numBasketballs + FootballHours \\times numFootballs \\leq TotalHours$,"{'types': ['Production Planning', 'Resource Allocation and Management', 'Sizing'], 'domains': ['Manufacturing and Production', 'Sports and Entertainment']}","A handmade sports equipment manufacturing company makes two types of sports equipment: basketballs and footballs. Basketballs require BasketballMaterial units of materials and BasketballHours hours to make, whereas footballs require FootballMaterial units of materials and FootballHours hours to make. The manufacturing company has TotalMaterial units of materials available and their workers can work for at most TotalHours hours. Since basketballs sell better, there must be at least BasketballToFootballRatio times as many basketballs as footballs, but the manufacturing company would like at least MinFootballs footballs. How many of each type of sports equipment should the manufacturing company make to maximize the total number of sports equipment produced?",257
597,"""The goal is to maximize the total number of sports equipment produced""",$\max\ ( \text{numBasketballs} + \text{numFootballs} )$,The number of basketballs produced should be at least BasketballToFootballRatio times the number of footballs produced,$numBasketballs \\geq BasketballToFootballRatio \\times numFootballs$,"{'types': ['Production Planning', 'Resource Allocation and Management', 'Sizing'], 'domains': ['Manufacturing and Production', 'Sports and Entertainment']}","A handmade sports equipment manufacturing company makes two types of sports equipment: basketballs and footballs. Basketballs require BasketballMaterial units of materials and BasketballHours hours to make, whereas footballs require FootballMaterial units of materials and FootballHours hours to make. The manufacturing company has TotalMaterial units of materials available and their workers can work for at most TotalHours hours. Since basketballs sell better, there must be at least BasketballToFootballRatio times as many basketballs as footballs, but the manufacturing company would like at least MinFootballs footballs. How many of each type of sports equipment should the manufacturing company make to maximize the total number of sports equipment produced?",257
598,"""The goal is to maximize the total number of sports equipment produced""",$\max\ ( \text{numBasketballs} + \text{numFootballs} )$,The number of footballs produced should be at least MinFootballs,$\text{numFootballs} \geq \text{MinFootballs}$,"{'types': ['Production Planning', 'Resource Allocation and Management', 'Sizing'], 'domains': ['Manufacturing and Production', 'Sports and Entertainment']}","A handmade sports equipment manufacturing company makes two types of sports equipment: basketballs and footballs. Basketballs require BasketballMaterial units of materials and BasketballHours hours to make, whereas footballs require FootballMaterial units of materials and FootballHours hours to make. The manufacturing company has TotalMaterial units of materials available and their workers can work for at most TotalHours hours. Since basketballs sell better, there must be at least BasketballToFootballRatio times as many basketballs as footballs, but the manufacturing company would like at least MinFootballs footballs. How many of each type of sports equipment should the manufacturing company make to maximize the total number of sports equipment produced?",257
599,"""The goal is to minimize the total radiation received by the researcher from performing in-vivo and ex-vivo experiments""",$\min \left( \text{numInVivo} \times \text{RadiationInVivo} + \text{numExVivo} \times \text{RadiationExVivo} \right)$,The total preparation time for scheduled in-vivo and ex-vivo experiments should not exceed MaxPrepTime minutes,$PrepTimeInVivo \\times numInVivo + PrepTimeExVivo \\times numExVivo \\leq MaxPrepTime$,"{'types': ['Resource Allocation and Management', 'Scheduling'], 'domains': ['Healthcare and Medical', 'Science and Research']}","A researcher must perform two types of experiments, in-vivo and ex-vivo. In-vivo experiments require PrepTimeInVivo minutes to prepare and ExecTimeInVivo minutes to execute. Ex-vivo experiments require PrepTimeExVivo minutes to prepare and ExecTimeExVivo minutes to execute. In-vivo experiments give the researcher RadiationInVivo units of radiation while ex-vivo experiments give the researcher RadiationExVivo units of radiation. At most MaxPrepTime minutes can be used for preparation and MaxExecTime minutes for execution of the experiments. How many of each experiment should be scheduled by the researcher to minimize the total radiation received by the researcher?",258
600,"""The goal is to minimize the total radiation received by the researcher from performing in-vivo and ex-vivo experiments""",$\min \left( \text{numInVivo} \times \text{RadiationInVivo} + \text{numExVivo} \times \text{RadiationExVivo} \right)$,The total execution time for scheduled in-vivo and ex-vivo experiments should not exceed MaxExecTime minutes,$\\text{numInVivo} \\times \\text{ExecTimeInVivo} + \\text{numExVivo} \\times \\text{ExecTimeExVivo} \\leq \\text{MaxExecTime}$,"{'types': ['Resource Allocation and Management', 'Scheduling'], 'domains': ['Healthcare and Medical', 'Science and Research']}","A researcher must perform two types of experiments, in-vivo and ex-vivo. In-vivo experiments require PrepTimeInVivo minutes to prepare and ExecTimeInVivo minutes to execute. Ex-vivo experiments require PrepTimeExVivo minutes to prepare and ExecTimeExVivo minutes to execute. In-vivo experiments give the researcher RadiationInVivo units of radiation while ex-vivo experiments give the researcher RadiationExVivo units of radiation. At most MaxPrepTime minutes can be used for preparation and MaxExecTime minutes for execution of the experiments. How many of each experiment should be scheduled by the researcher to minimize the total radiation received by the researcher?",258
601,"""The goal is to maximize the total amount of mail that can be delivered""",$\max (\text{runnerDeliveries} \times \text{RunnerCapacity} + \text{canoerDeliveries} \times \text{CanoerCapacity})$,At most CanoeProportion of deliveries can be by canoe,$canoerDeliveries \leq \\left( \\frac{CanoeProportion}{1 - CanoeProportion} \\right) \\times runnerDeliveries$,"{'types': ['Resource Allocation and Management', 'Routing'], 'domains': ['Transportation & Logistics']}","A village delivers mail to nearby villages either by runners or canoers. Runners can carry RunnerCapacity bags of mail each time and take RunnerTime hours. Canoers can carry CanoerCapacity bags of mail each time and take CanoerTime hours. At most CanoeProportion of deliveries can be by canoe. Additionally, the village can spare at most TotalHours total hours and at least MinRunners individual runners must be used. How many of each way to deliver must be used to maximize the total amount of mail that can be delivered?",259
602,"""The goal is to maximize the total amount of mail that can be delivered""",$\max (\text{runnerDeliveries} \times \text{RunnerCapacity} + \text{canoerDeliveries} \times \text{CanoerCapacity})$,The village can spare at most TotalHours total hours,$runnerDeliveries \times RunnerTime + canoerDeliveries \times CanoerTime \leq TotalHours$,"{'types': ['Resource Allocation and Management', 'Routing'], 'domains': ['Transportation & Logistics']}","A village delivers mail to nearby villages either by runners or canoers. Runners can carry RunnerCapacity bags of mail each time and take RunnerTime hours. Canoers can carry CanoerCapacity bags of mail each time and take CanoerTime hours. At most CanoeProportion of deliveries can be by canoe. Additionally, the village can spare at most TotalHours total hours and at least MinRunners individual runners must be used. How many of each way to deliver must be used to maximize the total amount of mail that can be delivered?",259
603,"""The goal is to maximize the total amount of mail that can be delivered""",$\max (\text{runnerDeliveries} \times \text{RunnerCapacity} + \text{canoerDeliveries} \times \text{CanoerCapacity})$,auxiliary constraint,$runnerDeliveries \times RunnerTime + canoerDeliveries \times CanoerTime \leq TotalHours$,"{'types': ['Resource Allocation and Management', 'Routing'], 'domains': ['Transportation & Logistics']}","A village delivers mail to nearby villages either by runners or canoers. Runners can carry RunnerCapacity bags of mail each time and take RunnerTime hours. Canoers can carry CanoerCapacity bags of mail each time and take CanoerTime hours. At most CanoeProportion of deliveries can be by canoe. Additionally, the village can spare at most TotalHours total hours and at least MinRunners individual runners must be used. How many of each way to deliver must be used to maximize the total amount of mail that can be delivered?",259
604,"""The goal is to maximize the total amount of mail that can be delivered""",$\max (\text{runnerDeliveries} \times \text{RunnerCapacity} + \text{canoerDeliveries} \times \text{CanoerCapacity})$,At least MinRunners individual runners must be used,$\\text{numRunners} \\geq \\text{MinRunners}$,"{'types': ['Resource Allocation and Management', 'Routing'], 'domains': ['Transportation & Logistics']}","A village delivers mail to nearby villages either by runners or canoers. Runners can carry RunnerCapacity bags of mail each time and take RunnerTime hours. Canoers can carry CanoerCapacity bags of mail each time and take CanoerTime hours. At most CanoeProportion of deliveries can be by canoe. Additionally, the village can spare at most TotalHours total hours and at least MinRunners individual runners must be used. How many of each way to deliver must be used to maximize the total amount of mail that can be delivered?",259
605,"""The goal is to maximize the woman's protein intake by choosing the appropriate quantities of smoothies and protein bars""",,The number of protein bars must be equal to RatioBarsToSmoothies times the number of smoothies,$numBars = RatioBarsToSmoothies \\times numSmoothies$,"{'types': ['Resource Allocation and Management', 'Blending'], 'domains': ['Healthcare and Medical', 'Food and Beverage']}","A woman on a diet needs to consume two types of meal preps. Each meal prep either provides ProteinPerSmoothie units of protein and CaloriesPerSmoothie calories, or ProteinPerBar units of protein and CaloriesPerBar calories. The woman must consume a number of protein bars equal to RatioBarsToSmoothies times the number of smoothies. She can consume at most MaxCalories calories and aims to maximize her protein intake by choosing the appropriate quantities of meal preps.",260
606,"""The goal is to maximize the woman's protein intake by choosing the appropriate quantities of smoothies and protein bars""",,The total calories consumed (from both smoothies and protein bars) should not exceed MaxCalories,$CaloriesPerSmoothie \times numSmoothies + CaloriesPerBar \times numBars \leq MaxCalories$,"{'types': ['Resource Allocation and Management', 'Blending'], 'domains': ['Healthcare and Medical', 'Food and Beverage']}","A woman on a diet needs to consume two types of meal preps. Each meal prep either provides ProteinPerSmoothie units of protein and CaloriesPerSmoothie calories, or ProteinPerBar units of protein and CaloriesPerBar calories. The woman must consume a number of protein bars equal to RatioBarsToSmoothies times the number of smoothies. She can consume at most MaxCalories calories and aims to maximize her protein intake by choosing the appropriate quantities of meal preps.",260
607,"""The goal is to minimize the total operational time while satisfying the plastic usage constraint and the production requirements for both anti-itch injections and topical cream""",$\min \sum_{i=1}^{\text{NumFactories}} \text{hoursRun}_i$,Total hours run by all factories should satisfy the minimum required production of anti-itch injections,$\\sum_{i=1}^{\\text{NumFactories}} \\text{ProductionInjections}[i] \\cdot \\text{hoursRun}[i] \\geq \\text{MinInjections}$,"{'types': ['Resource Allocation and Management', 'Production Planning', 'Scheduling'], 'domains': ['Healthcare and Medical', 'Manufacturing and Production']}","A firm operates NumFactories factories, each producing anti-itch injections and topical cream per hour. Every hour, each factory requires a certain number of plastic units to manufacture the packaging for these products. The total available plastic units are limited, and the firm has to meet minimum production requirements for both anti-itch injections and topical cream. The objective is to determine how many hours to run each factory to minimize the total operational time while satisfying the plastic usage constraint and the production requirements for both products.",261
608,"""The goal is to minimize the total operational time while satisfying the plastic usage constraint and the production requirements for both anti-itch injections and topical cream""",$\min \sum_{i=1}^{\text{NumFactories}} \text{hoursRun}_i$,Total hours run by all factories should satisfy the minimum required production of topical cream,$\\sum_{i=1}^{\\text{NumFactories}} \\text{ProductionCream}[i] \\times \\text{hoursRun}[i] \\geq \\text{MinCream}$,"{'types': ['Resource Allocation and Management', 'Production Planning', 'Scheduling'], 'domains': ['Healthcare and Medical', 'Manufacturing and Production']}","A firm operates NumFactories factories, each producing anti-itch injections and topical cream per hour. Every hour, each factory requires a certain number of plastic units to manufacture the packaging for these products. The total available plastic units are limited, and the firm has to meet minimum production requirements for both anti-itch injections and topical cream. The objective is to determine how many hours to run each factory to minimize the total operational time while satisfying the plastic usage constraint and the production requirements for both products.",261
609,"""The goal is to minimize the total operational time while satisfying the plastic usage constraint and the production requirements for both anti-itch injections and topical cream""",$\min \sum_{i=1}^{\text{NumFactories}} \text{hoursRun}_i$,Total plastic units used by all factories running for the determined hours should not exceed the total available plastic units,$\\sum_{i=1}^{\\text{NumFactories}} \\text{PlasticRequired}[i] \\cdot \\text{hoursRun}[i] \\leq \\text{TotalPlastic}$,"{'types': ['Resource Allocation and Management', 'Production Planning', 'Scheduling'], 'domains': ['Healthcare and Medical', 'Manufacturing and Production']}","A firm operates NumFactories factories, each producing anti-itch injections and topical cream per hour. Every hour, each factory requires a certain number of plastic units to manufacture the packaging for these products. The total available plastic units are limited, and the firm has to meet minimum production requirements for both anti-itch injections and topical cream. The objective is to determine how many hours to run each factory to minimize the total operational time while satisfying the plastic usage constraint and the production requirements for both products.",261
610,"""The goal is to maximize the number of people treated by producing batches of medication patches and anti-biotic creams""",$\max \big(\text{PeoplePerMedPatch} \cdot \text{medPatchBatches} + \text{PeoplePerCream} \cdot \text{creamBatches}\big)$,The total time required for preparing batches should not exceed the TotalAvailableMinutes,$\\text{TimePerMedPatch} \\times \\text{medPatchBatches} + \\text{TimePerCream} \\times \\text{creamBatches} \\leq \\text{TotalAvailableMinutes}$,"{'types': ['Resource Allocation and Management', 'Production Planning'], 'domains': ['Healthcare and Medical']}","A hospital prepares batches of medication patches and anti-biotic creams. Each medication patch requires TimePerMedPatch minutes to prepare and MaterialsPerMedPatch units of materials. Each anti-biotic cream requires TimePerCream minutes to prepare and MaterialsPerCream units of materials. Since anti-biotic creams are used more often, there must be at least MinCreamPatchRatio times as many anti-biotic creams as medication patches. Due to storage reasons, the hospital can make at most MaxTotalBatches batches of medication patches and anti-biotic creams in total. The hospital has available TotalAvailableMinutes minutes of staff to spare and TotalAvailableMaterials units of materials. If each batch of medication patches can treat PeoplePerMedPatch people and each batch of anti-biotic cream can treat PeoplePerCream people, how many batches of each should be made to maximize the number of people that can be treated?",262
611,"""The goal is to maximize the number of people treated by producing batches of medication patches and anti-biotic creams""",$\max \big(\text{PeoplePerMedPatch} \cdot \text{medPatchBatches} + \text{PeoplePerCream} \cdot \text{creamBatches}\big)$,The total materials required for preparing batches should not exceed the TotalAvailableMaterials,$MaterialsPerMedPatch \\cdot medPatchBatches + MaterialsPerCream \\cdot creamBatches \\leq TotalAvailableMaterials$,"{'types': ['Resource Allocation and Management', 'Production Planning'], 'domains': ['Healthcare and Medical']}","A hospital prepares batches of medication patches and anti-biotic creams. Each medication patch requires TimePerMedPatch minutes to prepare and MaterialsPerMedPatch units of materials. Each anti-biotic cream requires TimePerCream minutes to prepare and MaterialsPerCream units of materials. Since anti-biotic creams are used more often, there must be at least MinCreamPatchRatio times as many anti-biotic creams as medication patches. Due to storage reasons, the hospital can make at most MaxTotalBatches batches of medication patches and anti-biotic creams in total. The hospital has available TotalAvailableMinutes minutes of staff to spare and TotalAvailableMaterials units of materials. If each batch of medication patches can treat PeoplePerMedPatch people and each batch of anti-biotic cream can treat PeoplePerCream people, how many batches of each should be made to maximize the number of people that can be treated?",262
